rank,name,name_url,team,team_url,salary
26,Joel Embiid,https://www.espn.com/nba/player/_/id/3059318/joel-embiid,Philadelphia 76ers,https://www.espn.com/nba/team/_/name/phi/philadelphia-76ers,"$33,616,770"
27,Andrew Wiggins,https://www.espn.com/nba/player/_/id/3059319/andrew-wiggins,Golden State Warriors,https://www.espn.com/nba/team/_/name/gs/golden-state-warriors,"$33,616,770"
28,CJ McCollum,https://www.espn.com/nba/player/_/id/2490149/cj-mccollum,New Orleans Pelicans,https://www.espn.com/nba/team/_/name/no/new-orleans-pelicans,"$33,333,333"
29,Nikola Jokic,https://www.espn.com/nba/player/_/id/3112335/nikola-jokic,Denver Nuggets,https://www.espn.com/nba/team/_/name/den/denver-nuggets,"$33,047,804"
30,James Harden,https://www.espn.com/nba/player/_/id/3992/james-harden,Philadelphia 76ers,https://www.espn.com/nba/team/_/name/phi/philadelphia-76ers,"$33,000,000"
31,Brandon Ingram,https://www.espn.com/nba/player/_/id/3913176/brandon-ingram,New Orleans Pelicans,https://www.espn.com/nba/team/_/name/no/new-orleans-pelicans,"$31,650,600"
32,Jamal Murray,https://www.espn.com/nba/player/_/id/3936299/jamal-murray,Denver Nuggets,https://www.espn.com/nba/team/_/name/den/denver-nuggets,"$31,650,000"
33,D'Angelo Russell,https://www.espn.com/nba/player/_/id/3136776/d'angelo-russell,Los Angeles Lakers,https://www.espn.com/nba/team/_/name/lal/los-angeles-lakers,"$31,377,750"
34,Shai Gilgeous-Alexander,https://www.espn.com/nba/player/_/id/4278073/shai-gilgeous-alexander,Oklahoma City Thunder,https://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder,"$30,913,750"
35,Deandre Ayton,https://www.espn.com/nba/player/_/id/4278129/deandre-ayton,Phoenix Suns,https://www.espn.com/nba/team/_/name/phx/phoenix-suns,"$30,913,750"
36,Michael Porter Jr.,https://www.espn.com/nba/player/_/id/4278104/michael-porter-jr.,Denver Nuggets,https://www.espn.com/nba/team/_/name/den/denver-nuggets,"$30,913,750"
37,Donovan Mitchell,https://www.espn.com/nba/player/_/id/3908809/donovan-mitchell,Cleveland Cavaliers,https://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers,"$30,913,750"
38,Bam Adebayo,https://www.espn.com/nba/player/_/id/4066261/bam-adebayo,Miami Heat,https://www.espn.com/nba/team/_/name/mia/miami-heat,"$30,351,780"
39,Gordon Hayward,https://www.espn.com/nba/player/_/id/4249/gordon-hayward,Charlotte Hornets,https://www.espn.com/nba/team/_/name/cha/charlotte-hornets,"$30,075,000"
40,Jaren Jackson Jr.,https://www.espn.com/nba/player/_/id/4277961/jaren-jackson-jr.,Memphis Grizzlies,https://www.espn.com/nba/team/_/name/mem/memphis-grizzlies,"$28,946,605"
41,Jaylen Brown,https://www.espn.com/nba/player/_/id/3917376/jaylen-brown,Boston Celtics,https://www.espn.com/nba/team/_/name/bos/boston-celtics,"$28,741,071"
42,Chris Paul,https://www.espn.com/nba/player/_/id/2779/chris-paul,Phoenix Suns,https://www.espn.com/nba/team/_/name/phx/phoenix-suns,"$28,400,000"
43,Kyle Lowry,https://www.espn.com/nba/player/_/id/3012/kyle-lowry,Miami Heat,https://www.espn.com/nba/team/_/name/mia/miami-heat,"$28,333,334"
44,De'Aaron Fox,https://www.espn.com/nba/player/_/id/4066259/de'aaron-fox,Sacramento Kings,https://www.espn.com/nba/team/_/name/sac/sacramento-kings,"$28,103,550"
45,Jayson Tatum,https://www.espn.com/nba/player/_/id/4065648/jayson-tatum,Boston Celtics,https://www.espn.com/nba/team/_/name/bos/boston-celtics,"$28,103,500"
46,Jalen Brunson,https://www.espn.com/nba/player/_/id/3934672/jalen-brunson,New York Knicks,https://www.espn.com/nba/team/_/name/ny/new-york-knicks,"$27,733,332"
47,DeMar DeRozan,https://www.espn.com/nba/player/_/id/3978/demar-derozan,Chicago Bulls,https://www.espn.com/nba/team/_/name/chi/chicago-bulls,"$27,300,000"
48,Al Horford,https://www.espn.com/nba/player/_/id/3213/al-horford,Boston Celtics,https://www.espn.com/nba/team/_/name/bos/boston-celtics,"$26,500,000"
49,Draymond Green,https://www.espn.com/nba/player/_/id/6589/draymond-green,Golden State Warriors,https://www.espn.com/nba/team/_/name/gs/golden-state-warriors,"$25,806,468"
50,Julius Randle,https://www.espn.com/nba/player/_/id/3064514/julius-randle,New York Knicks,https://www.espn.com/nba/team/_/name/ny/new-york-knicks,"$23,760,000"
51,John Collins,https://www.espn.com/nba/player/_/id/3908845/john-collins,Atlanta Hawks,https://www.espn.com/nba/team/_/name/atl/atlanta-hawks,"$23,500,000"
52,Buddy Hield,https://www.espn.com/nba/player/_/id/2990984/buddy-hield,Indiana Pacers,https://www.espn.com/nba/team/_/name/ind/indiana-pacers,"$22,768,890"
53,Mike Conley,https://www.espn.com/nba/player/_/id/3195/mike-conley,Minnesota Timberwolves,https://www.espn.com/nba/team/_/name/min/minnesota-timberwolves,"$22,680,000"
54,Malcolm Brogdon,https://www.espn.com/nba/player/_/id/2566769/malcolm-brogdon,Boston Celtics,https://www.espn.com/nba/team/_/name/bos/boston-celtics,"$22,600,000"
55,Anfernee Simons,https://www.espn.com/nba/player/_/id/4351851/anfernee-simons,Portland Trail Blazers,https://www.espn.com/nba/team/_/name/por/portland-trail-blazers,"$22,321,429"
56,Nikola Vucevic,https://www.espn.com/nba/player/_/id/6478/nikola-vucevic,Chicago Bulls,https://www.espn.com/nba/team/_/name/chi/chicago-bulls,"$22,000,000"
57,Terry Rozier,https://www.espn.com/nba/player/_/id/3074752/terry-rozier,Charlotte Hornets,https://www.espn.com/nba/team/_/name/cha/charlotte-hornets,"$21,486,283"
58,Fred VanVleet,https://www.espn.com/nba/player/_/id/2991230/fred-vanvleet,Toronto Raptors,https://www.espn.com/nba/team/_/name/tor/toronto-raptors,"$21,250,000"
59,Jerami Grant,https://www.espn.com/nba/player/_/id/2991070/jerami-grant,Portland Trail Blazers,https://www.espn.com/nba/team/_/name/por/portland-trail-blazers,"$20,955,000"
60,Mikal Bridges,https://www.espn.com/nba/player/_/id/3147657/mikal-bridges,Brooklyn Nets,https://www.espn.com/nba/team/_/name/bkn/brooklyn-nets,"$20,100,000"
61,Jarrett Allen,https://www.espn.com/nba/player/_/id/4066328/jarrett-allen,Cleveland Cavaliers,https://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers,"$20,000,000"
62,Aaron Gordon,https://www.espn.com/nba/player/_/id/3064290/aaron-gordon,Denver Nuggets,https://www.espn.com/nba/team/_/name/den/denver-nuggets,"$19,690,909"
63,Tim Hardaway Jr.,https://www.espn.com/nba/player/_/id/2528210/tim-hardaway-jr.,Dallas Mavericks,https://www.espn.com/nba/team/_/name/dal/dallas-mavericks,"$19,602,273"
64,Bojan Bogdanovic,https://www.espn.com/nba/player/_/id/3593/bojan-bogdanovic,Detroit Pistons,https://www.espn.com/nba/team/_/name/det/detroit-pistons,"$19,550,000"
65,Lonzo Ball,https://www.espn.com/nba/player/_/id/4066421/lonzo-ball,Chicago Bulls,https://www.espn.com/nba/team/_/name/chi/chicago-bulls,"$19,534,884"
66,Spencer Dinwiddie,https://www.espn.com/nba/player/_/id/2580782/spencer-dinwiddie,Brooklyn Nets,https://www.espn.com/nba/team/_/name/bkn/brooklyn-nets,"$19,500,000"
67,Eric Bledsoe,https://www.espn.com/nba/player/_/id/4238/eric-bledsoe,Portland Trail Blazers,https://www.espn.com/nba/team/_/name/por/portland-trail-blazers,"$19,375,000"
68,Caris LeVert,https://www.espn.com/nba/player/_/id/2991043/caris-levert,Cleveland Cavaliers,https://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers,"$18,796,296"
69,Clint Capela,https://www.espn.com/nba/player/_/id/3102529/clint-capela,Atlanta Hawks,https://www.espn.com/nba/team/_/name/atl/atlanta-hawks,"$18,706,896"
70,Joe Harris,https://www.espn.com/nba/player/_/id/2528794/joe-harris,Brooklyn Nets,https://www.espn.com/nba/team/_/name/bkn/brooklyn-nets,"$18,642,857"
