id,season,Team,GP,GS,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
4066336,2021-22,CLE,61,61,30.8,5.1-11.5,44.5,2.2-6.2,35.8,2.3-2.6,86.8,1.0,4.7,5.7,1.3,0.5,0.7,2.1,0.9,14.8
4066336,2022-23,UTAH,66,66,34.4,8.7-17.3,49.9,3.0-7.7,39.2,5.3-6.0,87.5,2.0,6.7,8.6,1.9,0.6,0.6,2.1,1.9,25.6
6462,2011-12,HOU,17,0,7.4,0.9-3.2,29.6,0.1-1.0,11.8,0.4-0.5,75.0,0.3,0.6,0.9,0.2,0.1,0.1,0.7,0.2,2.4
6462,2012-13,HOU,54,17,21.4,3.2-7.4,42.8,1.4-3.6,38.1,0.9-1.4,65.3,1.2,2.9,4.1,0.9,0.3,0.5,2.2,1.0,8.6
6462,2012-13,PHX,23,6,16.1,2.2-5.5,40.5,0.5-1.7,30.8,0.7-1.8,40.5,0.7,1.8,2.5,0.7,0.2,0.8,1.7,1.0,5.7
6462,2013-14,PHX,82,1,22.0,3.5-7.9,44.2,1.2-3.2,38.1,1.5-1.9,76.1,1.0,2.9,3.9,1.1,0.2,0.9,1.9,1.2,9.7
6462,2014-15,PHX,81,35,25.2,4.1-9.4,43.4,1.4-3.9,35.8,0.9-1.4,62.8,0.9,3.9,4.8,1.6,0.2,0.8,2.3,0.9,10.4
6462,2015-16,DET,80,80,35.7,5.1-11.8,43.4,1.4-3.7,36.2,2.5-3.4,74.9,1.1,3.9,5.1,2.5,0.3,0.8,2.1,1.8,14.1
6462,2016-17,DET,79,79,32.5,5.3-12.7,41.8,1.5-4.5,33.1,1.8-2.3,78.4,1.0,3.7,4.6,2.0,0.3,0.7,2.1,1.1,14.0
6462,2017-18,BOS,54,21,26.7,4.9-11.3,42.9,1.6-4.3,36.8,2.3-2.9,80.5,0.8,4.6,5.4,1.3,0.2,0.6,1.9,1.2,13.6
6462,2018-19,BOS,75,53,27.9,5.0-11.3,44.7,1.9-5.2,37.5,1.9-2.3,84.4,1.0,5.1,6.1,1.5,0.3,0.6,2.4,1.2,13.9
6462,2019-20,NY,43,43,32.3,6.5-14.8,44.2,2.7-6.1,43.9,3.8-4.6,82.3,1.1,4.3,5.4,1.4,0.4,0.8,3.0,1.7,19.6
6462,2019-20,LAC,19,19,28.9,3.9-9.2,42.5,1.4-4.4,31.0,0.9-1.2,81.8,0.6,3.5,4.1,1.4,0.7,0.7,2.7,1.3,10.1
6462,2020-21,LAC,57,29,26.4,4.8-10.2,47.3,2.5-5.2,47.3,1.3-1.6,82.0,0.6,3.5,4.1,1.0,0.3,0.6,2.1,1.0,13.4
6462,2021-22,LAC,54,54,29.0,5.6-12.8,43.4,1.9-5.1,36.7,2.4-2.7,87.2,0.5,3.9,4.4,2.1,0.3,0.5,2.1,1.3,15.4
6462,2022-23,LAC,65,65,28.1,4.2-9.9,42.6,1.7-4.7,36.5,1.0-1.3,78.2,0.4,3.5,4.0,1.8,0.3,0.6,2.1,0.9,11.2
6426,2016-17,SA,67,6,12.1,1.5-3.5,44.0,1.0-2.6,39.9,0.4-0.5,82.4,0.3,1.1,1.5,0.7,0.4,0.3,1.1,0.5,4.5
6426,2017-18,SA,77,10,14.1,2.1-4.8,44.0,1.2-3.3,37.3,0.5-0.6,81.6,0.2,1.8,2.0,1.0,0.4,0.3,1.2,0.5,5.9
6426,2018-19,SA,76,12,21.5,2.7-6.0,45.0,1.9-4.4,42.9,0.7-0.8,88.3,0.3,3.2,3.5,1.3,0.4,0.5,1.8,0.6,8.0
6426,2019-20,WSH,54,4,29.3,4.9-11.3,43.4,3.7-8.7,42.4,1.9-2.3,85.2,0.6,3.9,4.5,1.7,0.6,0.7,2.6,1.1,15.4
6426,2020-21,WSH,57,7,25.7,3.4-8.4,40.4,3.0-7.5,39.5,1.8-2.0,87.0,0.3,2.6,2.9,0.9,0.2,0.6,2.4,0.6,11.5
6426,2021-22,WSH,34,0,14.7,1.8-5.0,35.1,1.4-4.2,31.9,0.8-0.9,93.3,0.2,1.6,1.8,0.5,0.2,0.3,1.6,0.4,5.7
6426,2021-22,DAL,22,0,13.9,1.8-4.7,37.5,1.4-3.9,36.0,0.4-0.5,80.0,0.3,2.3,2.5,0.7,0.3,0.3,1.4,0.2,5.3
6426,2022-23,DAL,45,1,10.9,1.5-3.6,43.1,1.2-3.1,39.0,0.3-0.3,86.7,0.2,1.0,1.2,0.5,0.2,0.2,1.2,0.2,4.6
3102530,2014-15,DEN,62,27,17.8,2.8-6.2,44.6,0.0-0.0,0.0,1.4-2.1,63.6,2.0,4.1,6.2,0.8,1.1,0.8,3.3,1.4,6.9
3102530,2015-16,DEN,32,3,17.1,3.2-7.6,41.7,0.0-0.1,0.0,1.9-3.1,61.6,2.0,3.4,5.5,1.3,1.4,0.8,2.8,1.7,8.2
3102530,2016-17,DEN,45,29,17.9,3.4-6.6,50.7,0.0-0.0,0.0,1.2-2.5,49.6,2.0,3.8,5.8,1.3,0.8,0.6,2.0,1.8,8.0
3102530,2016-17,POR,20,19,29.2,6.0-11.8,50.8,0.0-0.1,0.0,3.2-4.9,66.0,3.3,7.1,10.4,3.2,1.9,1.3,3.7,3.1,15.2
3102530,2017-18,POR,79,79,26.4,6.1-12.0,50.5,0.0-0.1,0.0,2.2-3.5,63.0,2.4,6.6,9.0,1.8,1.4,0.8,3.1,2.3,14.3
3102530,2018-19,POR,72,72,27.4,5.8-11.5,50.8,0.0-0.4,10.3,3.9-5.1,77.3,3.4,7.0,10.4,3.2,1.4,1.0,3.5,2.3,15.6
3102530,2019-20,POR,8,8,31.6,6.8-13.6,49.5,0.3-1.3,20.0,3.9-4.4,88.6,2.9,7.4,10.3,4.0,2.0,1.4,4.9,2.4,17.6
3102530,2020-21,POR,37,37,23.8,4.6-9.0,51.4,0.3-0.8,40.0,1.9-3.1,61.9,2.3,6.6,9.0,3.4,1.1,1.0,2.8,2.0,11.5
3102530,2021-22,POR,56,56,28.2,5.7-10.7,53.5,0.3-1.0,26.8,3.3-4.8,69.0,3.0,8.1,11.1,2.8,0.6,1.1,3.4,2.6,15.0
3102530,2022-23,POR,52,52,26.8,5.0-9.7,51.9,0.8-2.3,36.1,2.4-3.7,66.1,2.2,6.9,9.1,2.9,0.8,0.8,3.6,2.3,13.3
3907822,2016-17,DEN,22,1,7.5,1.5-3.3,45.2,0.4-1.3,32.1,0.4-0.5,80.0,0.2,0.5,0.8,0.5,0.0,0.3,0.5,0.4,3.8
3907822,2017-18,DEN,62,0,9.5,1.2-2.9,41.0,0.5-1.3,34.1,0.4-0.5,66.7,0.2,0.9,1.1,0.5,0.1,0.2,0.6,0.4,3.2
3907822,2018-19,DEN,81,18,23.2,4.3-9.1,47.4,2.0-5.0,40.2,0.7-0.8,84.8,0.4,2.0,2.5,1.2,0.1,0.7,1.4,0.7,11.3
3907822,2019-20,DEN,41,0,18.2,2.9-7.3,38.9,1.4-3.9,36.0,0.8-0.9,86.8,0.2,1.7,1.9,1.2,0.1,0.8,1.2,0.9,7.9
3907822,2019-20,MIN,14,14,33.1,7.9-16.6,47.2,3.5-8.2,42.6,1.5-2.0,75.0,0.6,4.4,5.1,1.9,0.1,0.6,1.9,1.5,20.7
3907822,2020-21,MIN,37,36,32.8,7.1-16.2,44.0,3.5-8.7,39.9,1.8-2.2,85.0,0.8,3.6,4.4,2.4,0.2,0.8,1.7,1.6,19.6
3907822,2021-22,MIN,79,18,25.0,4.2-10.8,39.1,3.0-8.1,37.7,0.6-0.8,81.7,0.3,2.5,2.9,1.5,0.2,0.5,1.1,0.5,12.1
3907822,2022-23,UTAH,55,13,26.8,4.8-12.2,39.6,3.1-8.6,35.9,0.7-0.8,84.1,0.5,3.1,3.6,1.7,0.1,0.8,1.4,1.1,13.4
3907822,2022-23,LAL,26,14,23.9,4.0-10.3,39.2,2.5-7.2,35.3,0.5-0.8,61.9,0.3,3.0,3.3,1.2,0.0,0.8,1.2,1.2,11.1
4397020,2019-20,OKC,36,28,22.8,2.4-6.1,39.5,0.8-2.8,29.7,1.2-1.5,79.2,0.7,1.6,2.3,0.8,0.1,0.9,2.7,0.6,6.8
4397020,2020-21,OKC,52,52,29.7,4.8-12.3,38.7,2.2-6.3,34.3,2.3-3.2,74.4,0.7,2.9,3.6,1.7,0.4,0.9,2.6,1.5,14.0
4397020,2021-22,OKC,51,51,32.6,5.7-14.2,40.4,2.5-7.7,33.2,3.2-3.7,84.3,0.7,3.4,4.2,1.7,0.4,0.9,2.9,1.7,17.2
4397020,2022-23,OKC,74,73,30.7,4.6-11.8,38.8,1.8-5.5,33.0,2.7-3.5,77.2,1.7,2.9,4.6,2.1,0.3,1.0,3.3,1.2,13.7
6477,2012-13,TOR,62,57,23.9,3.3-5.9,55.7,0.0-0.0,0.0,2.4-3.0,78.9,2.0,4.0,6.0,0.7,1.3,0.3,3.0,1.5,8.9
6477,2013-14,TOR,81,81,28.2,4.4-8.3,53.1,0.0-0.0,0.0,2.4-3.2,76.2,2.8,6.0,8.8,0.7,0.9,0.3,3.1,1.7,11.3
6477,2014-15,TOR,80,80,26.2,4.7-8.2,57.2,0.0-0.0,0.0,2.7-3.5,78.6,2.7,6.0,8.7,0.5,1.2,0.4,2.8,1.4,12.0
6477,2015-16,TOR,60,59,26.0,5.1-8.9,56.5,0.0-0.0,0.0,2.7-3.6,76.1,3.1,6.1,9.1,0.7,1.3,0.4,2.6,1.4,12.8
6477,2016-17,TOR,80,80,25.8,4.9-8.8,55.7,0.0-0.0,50.0,2.2-2.7,81.1,2.8,6.7,9.5,0.7,0.8,0.5,2.7,1.3,12.0
6477,2017-18,TOR,77,77,22.4,5.1-8.9,56.8,0.4-1.0,40.5,2.2-2.7,80.6,2.4,6.2,8.6,1.1,0.9,0.4,2.5,1.5,12.7
6477,2018-19,TOR,30,10,18.8,5.0-8.6,57.5,0.3-1.0,30.0,2.6-3.1,81.9,1.8,5.4,7.2,1.0,0.8,0.4,2.7,1.3,12.8
6477,2018-19,MEM,19,17,27.7,8.0-14.7,54.5,0.3-0.9,27.8,3.7-4.8,76.9,2.7,7.9,10.7,2.2,1.6,0.3,3.4,2.7,19.9
6477,2019-20,MEM,70,70,26.4,6.2-10.6,58.5,0.5-1.3,35.2,2.1-2.9,74.0,3.0,8.2,11.3,1.9,1.1,0.4,2.6,1.8,14.9
6477,2020-21,MEM,62,61,28.3,7.1-12.0,59.2,0.3-0.9,36.8,2.5-3.3,77.3,4.1,8.4,12.5,1.8,0.9,0.6,2.9,1.6,17.1
6477,2021-22,NO,74,74,30.3,6.9-12.7,54.4,0.8-2.1,36.1,3.2-3.9,82.0,3.1,8.3,11.4,2.6,0.8,0.6,3.3,2.4,17.8
6477,2022-23,NO,79,79,24.9,5.6-10.3,54.7,0.5-1.4,34.9,2.3-2.8,82.6,2.8,7.3,10.2,1.8,0.7,0.3,3.1,2.0,14.1
4066372,2018-19,ATL,75,59,27.3,3.7-8.8,41.9,1.8-4.7,38.5,0.5-0.7,73.2,0.8,2.5,3.3,2.9,0.3,0.9,2.1,1.5,9.7
4066372,2019-20,ATL,56,48,31.4,4.5-10.9,41.3,2.3-6.0,38.0,0.9-1.1,82.8,0.6,3.4,4.1,3.8,0.5,0.9,2.5,1.6,12.2
4066372,2020-21,ATL,69,49,30.8,4.6-10.6,43.2,2.0-5.6,36.3,0.7-0.9,78.1,0.6,2.8,3.3,3.5,0.3,1.2,2.4,1.1,11.9
4066372,2021-22,ATL,74,60,29.6,4.7-10.3,45.4,2.2-5.6,38.9,0.6-0.7,80.8,0.4,3.0,3.4,2.7,0.4,0.7,2.5,1.2,12.1
4066372,2022-23,SAC,75,75,29.4,5.6-11.5,48.5,2.7-6.8,40.2,1.3-1.7,72.5,0.6,2.8,3.3,2.9,0.3,1.1,2.4,1.3,15.2
3913174,2017-18,DET,73,9,20.0,2.8-6.4,44.3,1.1-2.7,41.5,0.9-1.0,85.5,0.3,2.1,2.4,1.7,0.2,0.6,1.2,0.9,7.6
3913174,2018-19,DET,63,10,22.8,3.6-8.3,43.8,1.7-4.3,39.4,0.8-1.0,83.6,0.2,2.7,2.9,1.8,0.2,0.4,1.5,0.9,9.7
3913174,2019-20,DET,28,25,32.9,5.4-12.2,44.2,2.6-6.5,39.9,2.4-2.7,89.3,0.3,3.2,3.5,4.1,0.2,0.4,2.3,1.5,15.8
3913174,2020-21,LAC,63,17,19.6,3.1-6.6,47.6,1.6-3.6,44.6,0.4-0.5,83.9,0.2,2.3,2.6,1.7,0.1,0.4,1.4,0.8,8.3
3913174,2021-22,LAC,70,13,27.4,4.1-9.1,44.9,2.7-6.0,44.9,1.0-1.1,89.6,0.3,3.0,3.3,2.1,0.1,0.6,1.4,0.9,11.9
