id,name,rank,salary,url
4432356,Johnny Davis,223,4810320.0,https://www.espn.com/nba/player/_/id/4432356/johnny-davis
4305,Ish Smith,224,4750000.0,https://www.espn.com/nba/player/_/id/4305/ish-smith
4397189,Jalen Smith,225,4670160.0,https://www.espn.com/nba/player/_/id/4397189/jalen-smith
4433137,Ziaire Williams,226,4591680.0,https://www.espn.com/nba/player/_/id/4433137/ziaire-williams
4997526,Ousmane Dieng,227,4569840.0,https://www.espn.com/nba/player/_/id/4997526/ousmane-dieng
6591,Maurice Harkless,228,4564980.0,https://www.espn.com/nba/player/_/id/6591/maurice-harkless
3934673,Donte DiVincenzo,229,4500000.0,https://www.espn.com/nba/player/_/id/3934673/donte-divincenzo
3209,Jeff Green,230,4500000.0,https://www.espn.com/nba/player/_/id/3209/jeff-green
4395630,Devin Vassell,231,4437000.0,https://www.espn.com/nba/player/_/id/4395630/devin-vassell
3907498,Matisse Thybulle,232,4379527.0,https://www.espn.com/nba/player/_/id/3907498/matisse-thybulle
4278077,Jarred Vanderbilt,233,4374000.0,https://www.espn.com/nba/player/_/id/4278077/jarred-vanderbilt
4431712,James Bouknight,234,4362240.0,https://www.espn.com/nba/player/_/id/4431712/james-bouknight
3906665,Brandon Clarke,235,4343920.0,https://www.espn.com/nba/player/_/id/3906665/brandon-clarke
4593803,Jalen Williams,236,4341480.0,https://www.espn.com/nba/player/_/id/4593803/jalen-williams
4066218,Grant Williams,237,4306281.0,https://www.espn.com/nba/player/_/id/4066218/grant-williams
4423545,Darius Bazley,238,4264629.0,https://www.espn.com/nba/player/_/id/4423545/darius-bazley
4065733,Ty Jerome,239,4220057.0,https://www.espn.com/nba/player/_/id/4065733/ty-jerome
4396993,Tyrese Haliburton,240,4215120.0,https://www.espn.com/nba/player/_/id/4396993/tyrese-haliburton
4395652,Nassir Little,241,4171548.0,https://www.espn.com/nba/player/_/id/4395652/nassir-little
4702176,Joshua Primo,242,4144320.0,https://www.espn.com/nba/player/_/id/4702176/joshua-primo
4433621,Jalen Duren,243,4124280.0,https://www.espn.com/nba/player/_/id/4433621/jalen-duren
2991155,Danuel House Jr.,244,4105000.0,https://www.espn.com/nba/player/_/id/2991155/danuel-house-jr.
3135047,Justise Winslow,245,4097561.0,https://www.espn.com/nba/player/_/id/3135047/justise-winslow
3906786,Dylan Windler,246,4037278.0,https://www.espn.com/nba/player/_/id/3906786/dylan-windler
3149010,Chandler Hutchison,247,4019459.0,https://www.espn.com/nba/player/_/id/3149010/chandler-hutchison
4395698,Kira Lewis Jr.,248,4004280.0,https://www.espn.com/nba/player/_/id/4395698/kira-lewis-jr.
3919454,Terence Davis,249,4000000.0,https://www.espn.com/nba/player/_/id/3919454/terence-davis
3438,George Hill,250,4000000.0,https://www.espn.com/nba/player/_/id/3438/george-hill
4592402,Chris Duarte,251,3936960.0,https://www.espn.com/nba/player/_/id/4592402/chris-duarte
4397018,Ochai Agbaji,252,3918360.0,https://www.espn.com/nba/player/_/id/4397018/ochai-agbaji
2596107,Alex Len,253,3918000.0,https://www.espn.com/nba/player/_/id/2596107/alex-len
4277956,Jordan Poole,254,3901399.0,https://www.espn.com/nba/player/_/id/4277956/jordan-poole
4395723,Keldon Johnson,255,3873025.0,https://www.espn.com/nba/player/_/id/4395723/keldon-johnson
4396909,Aaron Nesmith,256,3804360.0,https://www.espn.com/nba/player/_/id/4396909/aaron-nesmith
4701232,Mark Williams,257,3722040.0,https://www.espn.com/nba/player/_/id/4701232/mark-williams
